서울시민업종코드,기준년월,시간대구간,고객주소블록코드,카드이용건수계,소액결제건수
SS058,201901,3,231087,76,60
SS036,201901,4,158314,10,5
SS016,201901,4,214716,958,932
SS002,201901,5,17425,20,5
SS002,201901,5,13641,5,0
SS002,201901,4,502135,5,0
SS005,201901,5,157290,217,207
SS016,201901,5,19831,2404,2349
SS016,201901,1,21411,227,222
SS064,201901,4,227173,55,50
SS055,201901,2,212516,35,20
SS002,201901,5,365562,15,5
SS001,201901,5,166343,197,60
